MCC_Cd,Program Type,Category,Extended_Calc_Fl
742,Veterinary Services,Veterinary,No
763,Agricultural Cooperatives,Agricultural,No
780,Landscaping and Horticultural Services,Construction,No
1520,General Contractor/Residential Building,Construction,No
1711,"Heating, Plumbing, Air Conditioning Contractors",Construction,No
1731,Electrical Contractors,Construction,No
1740,"Masonry, Stonework, Tile Setting, Plastering, Insulation Contractors",Construction,No
1750,Carpentry,Construction,No
1761,"Roof, Siding, and Sheet Metal Work Contractors",Construction,No
1771,"Contractors, Concrete",Construction,No
1799,Special Trade Contractor - Not Elsewhere Classified,Construction,No
2741,Miscellaneous Publishing and Printing Services,Construction,No
2791,"Typesetting, Plate Making and Related Services (Business to Business MCC)",Construction,No
2842,"Specialty Cleaning, Polishing and Sanitation Preparations (Business to Business MCC)",Construction,No
3000,United Airlines ,Airlines,No
3001,American Airlines ,Airlines,No
3002,Pan American,Misc.,No
3003,Eurofly Airlines,Airlines,No
3004,Dragon Airlines,Airlines,No
3005,British Airways ,Airlines,No
3006,Japan Air Lines ,Airlines,No
3007,Air France,Airlines,No
3008,Lufthansa,Airlines,No
3009,Air Canada,Airlines,No
3010,KLM,Airlines,No
3011,AeroFlot,Airlines,No
3012,Qantas,Airlines,No
3013,Alitalia,Airlines,No
3014,Saudi Arabian Airlines,Airlines,No
3015,SWISS,Airlines,No
3016,SAS,Airlines,No
3017,South African Airway ,Airlines,No
3018,Varig (Brazil),Airlines,No
3020,Air India,Airlines,No
3021,Air Algerie,Airlines,No
3022,PAL AIR,Airlines,No
3023,Mexicana,Airlines,No
3024,Pakistan International,Airlines,No
3025,Air New Zealand Ltd. ,Airlines,No
3026,Emirates Airlines,Airlines,No
3027,UTA/InterAir,Airlines,No
3028,Air Malta,Airlines,No
3029,SN Brussels Airlines - SN BRUSSELS,Airlines,No
3030,Aerolineas Argentinas ,Airlines,No
3031,Olympic Airways,Airlines,No
3032,El Al,Airlines,No
3033,Ansett Airlines ,Airlines,No
3034,ETIHADAIR,Airlines,No
3035,TAP (Portugal) ,Airlines,No
3036,VASP (Brazil),Airlines,No
3037,EgyptAir,Airlines,No
3038,Kuwait Airways ,Airlines,No
3039,Avianca,Airlines,No
3040,GulfAir (Bahrain) ,Airlines,No
3041,Balkan-Bulgarian ,Airlines,No
3042,FinnAir,Airlines,No
3043,Aer Lingus,Airlines,No
3044,Air Lanka,Airlines,No
3045,Nigeria Airways ,Airlines,No
3046,Cruzeiro do Sul (Bra),Airlines,No
3047,THY (Turkey),Airlines,No
3048,Royal Air Maroc ,Airlines,No
3049,Tunis Air,Airlines,No
3050,Icelandair,Airlines,No
3051,Austrian Airlines ,Airlines,No
3052,LANAIR,Airlines,No
3053,AVIACO (Spain) ,Airlines,No
3054,Ladeco (Chile) ,Airlines,No
3055,LAB (Bolivia) ,Airlines,No
3056,JetAir,Airlines,No
3057,Virgin America – VIR AMER,Airlines,No
3058,Delta,Airlines,No
3059,DBA Airlines-DBA AIR,Airlines,No
3060,NWA Air,Airlines,No
3061,Continental,Airlines,No
3062,Hapag-Lloyd Express - HLX,Airlines,No
3063,US Airways,Airlines,No
3064,Adria Airways,Airlines,No
3065,Airinter (AirInternational),Airlines,No
3066,Southwest,Airlines,No
3068,AIR STANA,Airlines,No
3069,Sun Country Air,Airlines,No
3070,Pacific Southwest Airlines (PSA),Airlines,No
3071,Air British Columbia ,Airlines,No
3072,CEBU PAC,Airlines,No
3073,Air Cal,Airlines,No
3075,Singapore Airlines,Airlines,No
3076,Aeromexico,Airlines,No
3077,Thai Airways,Airlines,No
3078,China Airlines,Airlines,No
3079,Jetstar Airways - Jetstar,Airlines,No
3082,Korean Airlines,Airlines,No
3083,Air Afrique,Airlines,No
3084,Eva Airlines,Airlines,No
3085,"Midwest Express Airlines, Inc",Airlines,No
3087,Metro Airlines,Airlines,No
3089,Tans Saero,Airlines,No
